source_line,method,uri,route_name,surface,inventory_kind,review_status,action,middleware
498,GET|HEAD,admin/support/settings,admin.support.settings,Admin,page candidate,OPEN,App\Http\Controllers\Admin\SupportCaseController@settings,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.manage
508,GET|HEAD,admin/support/{supportCase},admin.support.show,Admin,page candidate,OPEN,App\Http\Controllers\Admin\SupportCaseController@show,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:support.view
553,GET|HEAD,admin/workforce/attendance,admin.workforce.attendance.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\AttendanceController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
555,GET|HEAD,admin/workforce/corrections,admin.workforce.corrections.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\AttendanceCorrectionController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
552,GET|HEAD,admin/workforce/employees,admin.workforce.employees.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\EmployeeController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
568,GET|HEAD,admin/workforce/employees/create,admin.workforce.employees.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\EmployeeController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
570,GET|HEAD,admin/workforce/employees/{employeeProfile}/edit,admin.workforce.employees.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\EmployeeController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
556,GET|HEAD,admin/workforce/leave,admin.workforce.leave.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\LeaveController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
590,GET|HEAD,admin/workforce/leave-adjustment,admin.workforce.leave.adjustment,Admin,page candidate,OPEN,App\Http\Controllers\Admin\LeaveController@adjustmentForm,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
557,GET|HEAD,admin/workforce/leave-types,admin.workforce.leave-types.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\LeaveTypeController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.view
595,GET|HEAD,admin/workforce/leave-types/create,admin.workforce.leave-types.create,Admin,page candidate,OPEN,App\Http\Controllers\Admin\LeaveTypeController@create,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
597,GET|HEAD,admin/workforce/leave-types/{employeeLeaveType}/edit,admin.workforce.leave-types.edit,Admin,page candidate,OPEN,App\Http\Controllers\Admin\LeaveTypeController@edit,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.manage
541,GET|HEAD,admin/workforce/my-leave,admin.workforce.my-leave,Admin,page candidate,OPEN,App\Http\Controllers\Admin\LeaveController@myLeave,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
547,GET|HEAD,admin/workforce/my-payslips,admin.workforce.payroll.my-payslips,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PayrollController@myPayslips,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.self
548,GET|HEAD,admin/workforce/my-payslips/{payrollEntry},admin.workforce.payroll.my-payslip,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PayrollController@myPayslip,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.self
538,GET|HEAD,admin/workforce/my-schedule,admin.workforce.my-schedule,Admin,page candidate,OPEN,App\Http\Controllers\Admin\WorkShiftController@mySchedule,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.clock
561,GET|HEAD,admin/workforce/payroll,admin.workforce.payroll.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\PayrollController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.view
564,GET|HEAD,admin/workforce/payroll/compensation,admin.workforce.payroll.compensation.index,Admin,page candidate,OPEN,App\Http\Controllers\Admin\CompensationController@index,web | App\Http\Middleware\Authenticate | App\Http\Middleware\AdminMiddleware | App\Http\Middleware\PermissionMiddleware:workforce.payroll.view
